,City,Country,Latitude,Longitude,Max Temperature(F),Humidity,Cloudiness,Wind Speed(mph),Date
413,pecos,US,31.42,-103.49,283.15,42,1,4.6,1578327526
414,karauzyak,,,,,,,,
415,camacha,PT,33.08,-16.33,292.15,68,20,6.2,1578327526
416,buraydah,SA,26.33,43.97,286.15,43,20,1.5,1578327526
417,issoire,FR,45.54,3.25,284.15,57,0,2.1,1578327526
418,warqla,,,,,,,,
419,kostelec na hane,CZ,49.51,17.06,273.71,77,4,1.75,1578327527
420,mutsamudu,,,,,,,,
421,mitsamiouli,KM,-11.38,43.28,302.15,79,20,2.6,1578327527
422,palmer,AU,-34.85,139.16,293.71,48,0,3.6,1578327527
423,waw,,,,,,,,
424,sao felix do xingu,BR,-6.64,-51.99,296.29,97,100,0.99,1578327527
425,muswellbrook,AU,-32.27,150.89,294.26,91,93,1.34,1578327527
426,neiafu,TO,-18.65,-173.98,298.15,88,20,2.6,1578327527
427,rognan,NO,67.1,15.4,277.59,93,75,8.2,1578327527
428,lathi,IN,21.72,71.39,295.05,65,0,3.22,1578327527
429,macas,EC,-2.3,-78.12,298.15,69,40,3.6,1578327527
430,rawlins,US,41.79,-107.24,267.15,67,1,15.9,1578327527
431,bani walid,LY,31.76,14,283.17,67,69,8.54,1578327528
432,menongue,AO,-14.66,17.68,296.82,76,82,2.74,1578327528
433,cumnock,AU,-32.93,148.75,295.93,83,99,7.3,1578327528
434,vicuna,,,,,,,,
435,charters towers,AU,-20.07,146.27,295.73,92,44,3.92,1578327528
436,jacqueville,CI,5.21,-4.42,304.15,40,0,3.1,1578327528
437,verkhoyansk,RU,67.55,133.39,240.76,89,0,0.77,1578327528
438,teabo,MX,20.4,-89.28,295.15,65,0,2.42,1578327528
439,skibbereen,IE,51.55,-9.27,281.15,81,40,5.1,1578327528
440,katherine,AU,-14.47,132.26,298.15,78,100,2.6,1578327528
441,vilhena,BR,-12.74,-60.15,300.15,74,75,6.2,1578327528
442,tomatlan,MX,19.93,-105.25,292.18,48,18,1.57,1578327528
443,anadyr,RU,64.73,177.51,238.15,73,0,3,1578327528
444,lata,IN,30.78,78.62,266.11,98,100,2.03,1578327529
445,ozgon,,,,,,,,
446,prachin buri,TH,14.05,101.37,304.82,51,0,2.61,1578327529
447,jinchengjiang,,,,,,,,
448,prince rupert,CA,54.32,-130.32,273.15,76,90,1.5,1578327459
449,faya,SA,18.39,42.45,289.15,82,0,4.1,1578327529
450,katsuura,JP,33.93,134.5,279.15,75,75,2.6,1578327529
451,airai,TL,-8.93,125.41,294.25,78,100,1.96,1578327529
452,carlyle,CA,49.63,-102.27,268.71,73,1,7.2,1578327529
453,marsh harbour,BS,26.54,-77.06,293.74,62,99,5.09,1578327529
454,wewak,PG,-3.55,143.63,298.38,91,100,2.63,1578327529
455,mashhad,IR,36.3,59.61,277.15,69,54,3.1,1578327247
456,puerto quijarro,BO,-19,-57.72,306.15,59,40,4.6,1578327530
457,ambrolauri,GE,42.52,43.15,283.15,43,10,8.2,1578327530
458,coahuayana,MX,18.62,-100.35,295.96,48,0,0.26,1578327530
459,qui nhon,,,,,,,,
460,mamit,IN,23.92,92.49,284.54,74,0,0.79,1578327530
461,trogir,HR,43.52,16.25,278.71,30,0,3.6,1578327530
462,vila do maio,CV,15.13,-23.22,300.15,42,94,12.3,1578327530
463,fare,PF,-16.7,-151.02,300.65,76,20,6.05,1578327530
464,slupca,PL,52.29,17.87,275.93,93,92,3.34,1578327530
465,tiznit,MA,29.7,-9.73,287.44,45,0,2.52,1578327530
466,rawson,AR,-43.3,-65.11,287.94,60,23,10.34,1578327530
467,satitoa,,,,,,,,
468,kruisfontein,ZA,-34,24.73,291.94,84,100,3.92,1578327531
469,khandbari,NP,27.38,87.21,273.26,81,75,1.01,1578327531
470,barbar,,,,,,,,
471,bairiki,,,,,,,,
472,cabatuan,PH,16.95,121.67,295.07,86,100,0.84,1578327531
473,vostok,RU,46.45,135.83,257.05,84,100,1.15,1578327531
474,dekar,BW,-21.53,21.93,302.4,45,87,7.03,1578327531
475,jeremie,HT,18.65,-74.12,297.03,64,0,1.97,1578327531
476,fort nelson,CA,58.81,-122.69,240.15,74,20,0.65,1578327531
477,emerald,AU,-23.53,148.16,298.15,78,40,3.6,1578327531
478,nemuro,JP,43.32,145.57,272.73,77,3,16.82,1578327531
479,bereda,ES,43.27,-7.54,285.93,76,75,2.1,1578327531
480,narsaq,GL,60.91,-46.05,257.15,31,20,1,1578327531
481,along,IN,28.17,94.8,281.59,93,0,1.45,1578327435
482,chagda,,,,,,,,
483,asfi,,,,,,,,
484,san policarpo,PH,12.18,125.51,299.32,84,34,6.01,1578327532
485,hambantota,LK,6.12,81.12,298.15,100,95,2.6,1578327532
486,waipawa,NZ,-39.94,176.59,284.26,73,41,4.02,1578327532
487,kysyl-syr,RU,63.9,122.77,255.32,97,100,2.72,1578327532
488,san quintin,PH,17.54,120.52,294.4,87,11,1.9,1578327532
489,necochea,AR,-38.55,-58.74,293.36,58,0,11.02,1578327473
490,kyra,,,,,,,,
491,jati,PK,24.35,68.27,294.11,32,65,4.61,1578327532
492,palabuhanratu,,,,,,,,
493,barawe,,,,,,,,
494,tambul,,,,,,,,
495,palauig,PH,15.44,119.9,295.85,77,0,1.74,1578327533
496,hammerfest,NO,70.66,23.68,276.15,86,75,5.1,1578327533
497,mamou,GN,10.37,-12.08,307.39,11,31,0.81,1578327533
498,andreyevo,RU,55.95,41.15,269.72,86,100,1.46,1578327533
499,vertientes,CU,21.26,-78.15,298.15,53,20,7.7,1578327533
500,bloomfield,US,40.75,-92.42,274.15,80,1,2.13,1578327533
501,manavgat,TR,36.79,31.44,287.15,67,75,3.6,1578327451
502,ruatoria,,,,,,,,
503,qaqortoq,GL,60.72,-46.03,257.15,31,20,1,1578327533
504,khonuu,,,,,,,,
505,ghanzi,BW,-21.7,21.65,301.74,47,81,4.2,1578327533
506,egvekinot,RU,66.32,-179.17,248.17,74,0,3.44,1578327533
507,tazovskiy,RU,67.47,78.7,259.71,88,67,6.98,1578327379
508,qixia,CN,37.31,120.83,279.26,84,100,4.24,1578327534
509,port macquarie,AU,-31.43,152.91,295.93,94,75,1.5,1578327440
510,pafos,,,,,,,,
511,veinticinco de mayo,AR,-27.38,-54.75,308.15,38,23,2.24,1578327534
512,quatre cocos,MU,-20.21,57.76,300.15,88,75,1,1578327534
513,klaksvik,FO,62.23,-6.59,281.15,70,100,7.7,1578327534
514,ramasukha,,,,,,,,
515,evensk,RU,61.92,159.24,251.58,47,0,1.75,1578327534
516,port hedland,AU,-20.31,118.58,304.15,48,90,5.7,1578327534
517,auki,NG,12.18,6.51,304.04,17,99,4.17,1578327534
518,yudong,CN,32.02,121.36,285.93,93,43,2.43,1578327534
519,cudalbi,RO,45.77,27.69,272.15,76,100,8.13,1578327535
520,skutec,CZ,49.84,16,274.82,80,75,1.62,1578327535
521,eenhana,NA,-17.48,16.34,298.14,64,99,4,1578327535
522,sur,OM,22.57,59.53,296.76,62,0,2.37,1578327535
523,piacabucu,BR,-10.41,-36.43,302.54,63,48,5.2,1578327535
524,changji,CN,32.07,116.17,278.43,95,100,3.24,1578327535
525,leesburg,US,39.12,-77.56,283.15,42,1,3.6,1578327535
526,hinton,CA,53.4,-117.57,258.3,89,50,1.72,1578327535
527,maloshuyka,,,,,,,,
528,byumba,RW,-1.58,30.06,293.71,77,100,2.24,1578327535
529,mahajanga,MG,-15.72,46.32,301.15,83,20,3.1,1578327535
530,port blair,IN,11.67,92.75,300.43,80,0,8.35,1578327535
531,urucui,BR,-7.23,-44.56,303.59,64,42,1.29,1578327319
532,hamilton,CA,43.26,-79.87,275.93,64,75,9.3,1578327536
533,puerto colombia,CO,10.99,-74.96,303.15,62,20,9.3,1578327306
534,belmonte,PT,40.36,-7.35,285.93,69,67,0.93,1578327525
535,nushki,PK,29.55,66.02,284.11,75,89,0.72,1578327536
536,the valley,AI,18.22,-63.06,302.15,54,20,5.1,1578327409
537,byron bay,AU,-28.65,153.62,298.15,78,90,2.1,1578327536
538,kargil,PK,34.56,76.13,261.89,96,100,1.32,1578327536
539,kattivakkam,IN,13.22,80.32,300.93,78,75,3.6,1578327536
540,lar gerd,,,,,,,,
541,brazzaville,CD,-4.27,15.27,307.15,46,75,3.1,1578327536
542,tranby,NO,59.81,10.27,279.26,93,75,5.1,1578327536
543,fukue,JP,35.03,136.69,281.15,69,75,2.1,1578327537
544,phan rang,,,,,,,,
545,kununurra,AU,-15.77,128.74,299.15,94,40,2.1,1578327537
546,voyinka,UA,45.87,33.99,275.81,73,67,8.69,1578327537
547,great yarmouth,GB,52.61,1.73,281.15,75,75,6.2,1578327537
548,abu dhabi,AE,24.47,54.37,294.15,60,0,3.6,1578327537
549,riviere-au-renard,CA,49,-64.4,266.15,67,75,3.1,1578327537
550,hay river,CA,60.82,-115.79,248.15,75,75,5.7,1578327537
551,la asuncion,AR,-26.05,-65.39,286.62,94,100,1.4,1578327537
552,esperance,AU,-33.86,121.89,292.15,77,0,3.1,1578327537
553,mpika,ZM,-11.84,31.4,295.88,87,100,0.68,1578327537
554,nobeoka,JP,32.66,131.66,279.96,93,50,1.12,1578327538
555,camana,,,,,,,,
556,shetpe,KZ,44.14,52.16,272.02,63,48,3.35,1578327538
557,sevlievo,BG,43.03,25.1,274.15,86,90,3.6,1578327538
558,bahia honda,CU,22.9,-83.16,294.83,65,56,4.11,1578327538
559,adrar,DZ,27.87,-0.29,292.15,17,0,8.7,1578327538
560,raton,US,36.9,-104.44,274.15,67,1,3.1,1578327538
561,meghri,AM,38.9,46.25,274.43,62,0,1.81,1578327538
562,toliary,,,,,,,,
563,mackay,CA,53.65,-115.58,264.15,92,75,3.6,1578327538
564,sofiysk,,,,,,,,
565,paamiut,GL,61.99,-49.67,257.94,83,100,6.24,1578327444
566,sterling,US,39,-77.4,283.15,45,75,7.2,1578327385
567,clermont,FR,49.38,2.41,280.15,70,33,3.6,1578327539
568,nouakchott,MR,18.08,-15.98,299.15,9,57,9.3,1578327539
569,abidjan,CI,5.32,-4.02,304.15,40,6,3.1,1578327350
570,srisailam,IN,16.07,78.87,292.81,95,34,2.1,1578327539
571,iranshahr,IR,27.21,60.69,288.15,93,83,2.1,1578327511
572,muros,ES,42.77,-9.06,287.04,87,75,2.1,1578327539
573,hirara,JP,24.8,125.28,294.65,75,100,7.84,1578327539
574,la ronge,CA,55.1,-105.3,264.15,78,90,11.8,1578327245
575,namibe,AO,-15.19,12.15,300.15,69,20,8.2,1578327539
576,leningradskiy,RU,69.38,178.42,251.04,73,0,2.95,1578327539
577,araceli,PH,10.55,119.99,300.52,82,0,10.37,1578327539
578,jaora,IN,23.64,75.13,290.1,39,0,3.22,1578327540
579,venice,US,27.1,-82.45,290.37,42,1,3.6,1578327258
580,ayagoz,KZ,47.96,80.43,257.95,82,0,2.42,1578327540
581,totma,RU,59.98,42.76,262.9,93,84,2.46,1578327540
582,ascension,,,,,,,,
583,bongandanga,CD,1.51,21.07,307.62,31,78,1.75,1578327540
584,canatlan,MX,24.52,-104.78,282.04,56,40,1.53,1578327540
585,dudinka,RU,69.41,86.18,260.15,84,40,10,1578327540
586,mezen,RU,65.85,44.24,264.08,87,89,5.33,1578327540
587,moose factory,CA,51.26,-80.61,261.15,85,90,3.1,1578327540
588,manokwari,ID,-0.87,134.08,297.12,86,100,2.05,1578327540
589,koror,,,,,,,,
590,mount gambier,AU,-37.83,140.78,283.15,93,0,2.6,1578327540
591,muzhi,RU,65.4,64.7,259.85,81,6,4.48,1578327541
592,ahipara,NZ,-35.17,173.16,286.48,92,100,10.38,1578327541
593,muravlenko,RU,63.79,74.5,259.86,96,95,5.47,1578327541
594,chernyshevskiy,RU,63.01,112.47,263.82,93,100,5.63,1578327521
595,charlestown,US,41.38,-71.64,275.37,88,90,5.7,1578327541
596,portland,US,43.66,-70.25,269.82,62,90,4.1,1578327541
597,aktash,,,,,,,,
598,bull savanna,JM,17.89,-77.59,298.62,69,20,3.48,1578327541
599,santiago del estero,AR,-27.8,-64.26,298.68,46,67,5.31,1578327541
600,buchanan,LR,5.88,-10.05,306.15,46,0,3.6,1578327542
601,maningrida,AU,-12.05,134.23,299.87,78,100,2.35,1578327542
602,safita,SY,34.82,36.12,285.15,62,20,4.1,1578327542
603,asyut,EG,27.18,31.19,291.15,39,0,7.2,1578327491
604,bay roberts,CA,47.58,-53.28,272.15,86,90,10.8,1578327542
605,coffs harbour,AU,-30.3,153.13,297.15,83,90,1.43,1578327542
606,maniitsoq,GL,65.42,-52.9,254.19,92,100,7.25,1578327542
607,kokopo,PG,-4.34,152.27,301.99,74,100,1.83,1578327542
608,washougal,US,45.58,-122.35,281.48,93,90,8.7,1578327542
609,jutai,BR,-1.71,-47.89,300.95,88,34,1.22,1578327542
610,mangai,CD,-4.07,19.59,304.93,52,100,0.72,1578327543
611,morant bay,JM,17.88,-76.41,302.15,66,20,2.1,1578327543
612,williams lake,CA,52.13,-122.14,266.15,73,75,4.6,1578327543
613,saint-georges,CA,46.12,-70.67,264.82,78,100,1.01,1578327398
614,shirgaon,,,,,,,,
615,le vauclin,MQ,14.55,-60.84,302.15,62,9,7.2,1578327543
616,matamoros,US,25.87,-97.51,294.26,68,1,4.1,1578327543
617,kangaatsiaq,GL,68.31,-53.46,253.9,98,100,6.2,1578327543
618,gazanjyk,TM,39.24,55.52,276.62,72,40,1.24,1578327543
619,inhambane,MZ,-23.87,35.38,303.15,66,75,5.1,1578327543
620,macamic,CA,48.75,-79,262.15,85,90,4.1,1578327543
621,brae,GB,60.4,-1.35,282.15,87,100,12.3,1578327543
622,hami,CN,42.84,93.51,266.44,49,37,0.31,1578327543
623,comodoro rivadavia,AR,-45.87,-67.48,292.15,42,40,4.6,1578327544
624,lolua,,,,,,,,
625,ruidoso,US,33.33,-105.67,279.26,34,1,5.1,1578327247
626,new ross,CA,44.74,-64.46,269.82,73,90,1.75,1578327544
627,guerrero negro,MX,27.97,-114.04,286.26,62,0,0.92,1578327544
